Code,,Area,Number of households on the waiting list (excludes households looking for transfers) as at 1 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,
00BA,E09000024,Merton,"2,521","2,569","3,345","3,920","4,214","4,361","4,312","4,834","5,188","3,278","5,885","6,542","6,163","4,987","6,354","7,295","8,196","7,625","8,229","8,938","9,581","9,802","10,215",,,,,,,,,,,,,,,,,,,,,,,
00BB,E09000025,Newham,"10,281","9,412","9,537","9,901","11,426","13,942","16,228","19,503","25,317","29,574","24,159","28,579","28,649","31,851","32,045","30,975","24,179","15,582","16,755","17,453","25,729","26,139","27,635",,,,,,,,,,,,,,,,,,,,,,,
00BC,E09000026,Redbridge,"2,107","2,466","2,956","3,555","5,426","5,671","4,952","4,766","7,941","10,807","11,402","13,188","13,969","12,644","9,861","11,290","13,338","7,804","7,779","7,901","8,335","5,408","5,434",,,,,,,,,,,,,,,,,,,,,,,
00BD,E09000027,Richmond upon Thames,"2,684","3,741","4,667","4,992","3,383","3,763","3,861","4,868","4,898","5,726","4,576","5,549","6,858","7,331","4,807","5,587","4,415","4,008","4,101","4,908","3,068","3,944","4,336",,,,,,,,,,,,,,,,,,,,,,,
00BE,E09000028,Southwark,"3,749","3,510","4,645","5,543","7,191","6,164","6,757","6,657","7,548","8,057","8,987","8,604","9,804","10,769","12,570","14,112","14,713","13,436","7,832","7,096","6,665","6,778","6,772",,,,,,,,,,,,,,,,,,,,,,,
00BF,E09000029,Sutton,"2,346","1,925","1,963","2,154","2,432","1,653","1,662","2,145","3,724","3,408","4,121","4,091","4,174","4,116","4,323","5,493",979,"1,496","1,319","1,162","1,375","1,587","1,591",,,,,,,,,,,,,,,,,,,,,,,
00BG,E09000030,Tower Hamlets,"7,955","5,943","6,215","6,751","7,566","7,837","10,979","14,575","21,183","12,926","13,978","18,582","19,681","22,707","23,128","23,406","24,428","20,425","19,783","19,124","18,616","18,808","19,826",,,,,,,,,,,,,,,,,,,,,,,
00BH,E09000031,Waltham Forest,"8,000","7,977","7,172","7,476","8,664","10,283","9,680","9,016","8,837","11,059","10,169","9,655","14,341","15,624","16,153","21,864","25,054","20,635","15,405","8,306","8,795","7,330","8,379",,,,,,,,,,,,,,,,,,,,,,,
00BJ,E09000032,Wandsworth,"2,662","2,733","2,916","2,441","3,120","3,923","5,072","6,672","8,668","8,952","8,695","8,924","9,421","6,037","5,299","5,208","5,919","2,788","3,399","3,846","4,400","5,202","6,399",,,,,,,,,,,,,,,,,,,,,,,
00BK,E09000033,Westminster,"3,658","5,399","7,028","8,099","8,855","3,709","6,591","5,667","6,565","7,240","8,018","8,513","8,394","8,892","9,350","2,084","4,161","4,378","4,562","4,453","4,222","3,907","3,998",,,,,,,,,,,,,,,,,,,,,,,
